League,Year,team,matches,wins,draws,loses,scored,missed,pts
Bundesliga,2014,Bayern Munich,34,25,4,5,80,18,79
Bundesliga,2014,Wolfsburg,34,20,9,5,72,38,69
Bundesliga,2014,Borussia M.Gladbach,34,19,9,6,53,26,66
Bundesliga,2014,Bayer Leverkusen,34,17,10,7,62,37,61
Bundesliga,2014,Augsburg,34,15,4,15,43,43,49
Bundesliga,2014,Schalke 04,34,13,9,12,42,40,48
Bundesliga,2014,Borussia Dortmund,34,13,7,14,47,42,46
Bundesliga,2014,Hoffenheim,34,12,8,14,49,55,44
Bundesliga,2014,Werder Bremen,34,11,10,13,50,65,43
Bundesliga,2014,Eintracht Frankfurt,34,11,10,13,56,62,43
Bundesliga,2014,FC Cologne,34,9,13,12,34,40,40
Bundesliga,2014,Mainz 05,34,9,13,12,45,47,40
Bundesliga,2014,Hannover 96,34,9,10,15,40,56,37
Bundesliga,2014,VfB Stuttgart,34,9,9,16,42,60,36
Bundesliga,2014,Hamburger SV,34,9,8,17,25,50,35
Bundesliga,2014,Hertha Berlin,34,9,8,17,36,52,35
Bundesliga,2014,Freiburg,34,7,13,14,36,47,34
Bundesliga,2014,Paderborn,34,7,10,17,31,65,31
Bundesliga,2015,Bayern Munich,34,28,4,2,80,17,88
Bundesliga,2015,Borussia Dortmund,34,24,6,4,82,34,78
Bundesliga,2015,Bayer Leverkusen,34,18,6,10,56,40,60
Bundesliga,2015,Borussia M.Gladbach,34,17,4,13,67,50,55
Bundesliga,2015,Schalke 04,34,15,7,12,51,49,52
Bundesliga,2015,Mainz 05,34,14,8,12,46,42,50
Bundesliga,2015,Hertha Berlin,34,14,8,12,42,42,50
Bundesliga,2015,Wolfsburg,34,12,9,13,47,49,45
Bundesliga,2015,FC Cologne,34,10,13,11,38,42,43
Bundesliga,2015,Hamburger SV,34,11,8,15,40,46,41
Bundesliga,2015,Ingolstadt,34,10,10,14,33,42,40
Bundesliga,2015,Darmstadt,34,9,11,14,38,53,38
Bundesliga,2015,Werder Bremen,34,10,8,16,50,65,38
Bundesliga,2015,Augsburg,34,9,11,14,42,52,38
Bundesliga,2015,Hoffenheim,34,9,10,15,39,54,37
Bundesliga,2015,Eintracht Frankfurt,34,9,9,16,34,52,36
Bundesliga,2015,VfB Stuttgart,34,9,6,19,50,75,33
Bundesliga,2015,Hannover 96,34,7,4,23,31,62,25
Bundesliga,2016,Bayern Munich,34,25,7,2,89,22,82
Bundesliga,2016,RasenBallsport Leipzig,34,20,7,7,66,39,67
Bundesliga,2016,Borussia Dortmund,34,18,10,6,72,40,64
Bundesliga,2016,Hoffenheim,34,16,14,4,64,37,62
Bundesliga,2016,Hertha Berlin,34,15,4,15,43,47,49
Bundesliga,2016,FC Cologne,34,12,13,9,51,42,49
Bundesliga,2016,Freiburg,34,14,6,14,42,60,48
Bundesliga,2016,Werder Bremen,34,13,6,15,61,64,45
Bundesliga,2016,Borussia M.Gladbach,34,12,9,13,45,49,45
Bundesliga,2016,Schalke 04,34,11,10,13,45,40,43
Bundesliga,2016,Eintracht Frankfurt,34,11,9,14,36,43,42
Bundesliga,2016,Bayer Leverkusen,34,11,8,15,53,55,41
Bundesliga,2016,Augsburg,34,9,11,14,35,51,38
Bundesliga,2016,Hamburger SV,34,10,8,16,33,61,38
Bundesliga,2016,Mainz 05,34,10,7,17,44,55,37
Bundesliga,2016,Wolfsburg,34,10,7,17,34,52,37
Bundesliga,2016,Ingolstadt,34,8,8,18,36,57,32
Bundesliga,2016,Darmstadt,34,7,4,23,28,63,25
Bundesliga,2017,Bayern Munich,34,27,3,4,92,28,84
Bundesliga,2017,Schalke 04,34,18,9,7,53,37,63
Bundesliga,2017,Bayer Leverkusen,34,15,10,9,58,44,55
Bundesliga,2017,Hoffenheim,34,15,10,9,66,48,55
Bundesliga,2017,Borussia Dortmund,34,15,10,9,64,47,55
Bundesliga,2017,RasenBallsport Leipzig,34,15,8,11,57,53,53
Bundesliga,2017,VfB Stuttgart,34,15,6,13,36,36,51
Bundesliga,2017,Eintracht Frankfurt,34,14,7,13,45,45,49
Bundesliga,2017,Borussia M.Gladbach,34,13,8,13,47,52,47
Bundesliga,2017,Hertha Berlin,34,10,13,11,43,46,43
Bundesliga,2017,Werder Bremen,34,10,12,12,37,40,42
Bundesliga,2017,Augsburg,34,10,11,13,43,46,41
Bundesliga,2017,Hannover 96,34,10,9,15,44,54,39
Bundesliga,2017,Mainz 05,34,9,9,16,38,52,36
Bundesliga,2017,Freiburg,34,8,12,14,32,56,36
Bundesliga,2017,Wolfsburg,34,6,15,13,36,48,33
Bundesliga,2017,Hamburger SV,34,8,7,19,29,53,31
Bundesliga,2017,FC Cologne,34,5,7,22,35,70,22
Bundesliga,2018,Bayern Munich,34,24,6,4,88,32,78
Bundesliga,2018,Borussia Dortmund,34,23,7,4,81,44,76
Bundesliga,2018,RasenBallsport Leipzig,34,19,9,6,63,29,66
Bundesliga,2018,Bayer Leverkusen,34,18,4,12,69,52,58
Bundesliga,2018,Borussia M.Gladbach,34,16,7,11,55,42,55
Bundesliga,2018,Wolfsburg,34,16,7,11,62,50,55
Bundesliga,2018,Eintracht Frankfurt,34,15,9,10,60,48,54
Bundesliga,2018,Werder Bremen,34,14,11,9,58,49,53
Bundesliga,2018,Hoffenheim,34,13,12,9,70,52,51
Bundesliga,2018,Fortuna Duesseldorf,34,13,5,16,49,65,44
Bundesliga,2018,Hertha Berlin,34,11,10,13,49,57,43
Bundesliga,2018,Mainz 05,34,12,7,15,46,57,43
Bundesliga,2018,Freiburg,34,8,12,14,46,61,36
Bundesliga,2018,Schalke 04,34,8,9,17,37,55,33
Bundesliga,2018,Augsburg,34,8,8,18,51,71,32
Bundesliga,2018,VfB Stuttgart,34,7,7,20,32,70,28
Bundesliga,2018,Hannover 96,34,5,6,23,31,71,21
Bundesliga,2018,Nuernberg,34,3,10,21,26,68,19
EPL,2014,Chelsea,38,26,9,3,73,32,87
EPL,2014,Manchester City,38,24,7,7,83,38,79
EPL,2014,Arsenal,38,22,9,7,71,36,75
EPL,2014,Manchester United,38,20,10,8,62,37,70
EPL,2014,Tottenham,38,19,7,12,58,53,64
EPL,2014,Liverpool,38,18,8,12,52,48,62
EPL,2014,Southampton,38,18,6,14,54,33,60
EPL,2014,Swansea,38,16,8,14,46,49,56
EPL,2014,Stoke,38,15,9,14,48,45,54
EPL,2014,Crystal Palace,38,13,9,16,47,51,48
EPL,2014,West Ham,38,12,11,15,44,47,47
EPL,2014,Everton,38,12,11,15,48,50,47
EPL,2014,West Bromwich Albion,38,11,11,16,38,51,44
EPL,2014,Leicester,38,11,8,19,46,55,41
EPL,2014,Newcastle United,38,10,9,19,40,63,39
EPL,2014,Aston Villa,38,10,8,20,31,57,38
EPL,2014,Sunderland,38,7,17,14,31,53,38
EPL,2014,Hull,38,8,11,19,33,51,35
EPL,2014,Burnley,38,7,12,19,28,53,33
EPL,2014,Queens Park Rangers,38,8,6,24,42,73,30
EPL,2015,Leicester,38,23,12,3,68,36,81
EPL,2015,Arsenal,38,20,11,7,65,36,71
EPL,2015,Tottenham,38,19,13,6,69,35,70
EPL,2015,Manchester United,38,19,9,10,49,35,66
EPL,2015,Manchester City,38,19,9,10,71,41,66
EPL,2015,Southampton,38,18,9,11,59,41,63
EPL,2015,West Ham,38,16,14,8,65,51,62
EPL,2015,Liverpool,38,16,12,10,63,50,60
EPL,2015,Stoke,38,14,9,15,41,55,51
EPL,2015,Chelsea,38,12,14,12,59,53,50
EPL,2015,Swansea,38,12,11,15,42,52,47
EPL,2015,Everton,38,11,14,13,59,55,47
EPL,2015,Watford,38,12,9,17,40,50,45
EPL,2015,West Bromwich Albion,38,10,13,15,34,48,43
EPL,2015,Crystal Palace,38,11,9,18,39,51,42
EPL,2015,Bournemouth,38,11,9,18,45,67,42
EPL,2015,Sunderland,38,9,12,17,48,62,39
EPL,2015,Newcastle United,38,9,10,19,44,65,37
EPL,2015,Norwich,38,9,7,22,39,67,34
EPL,2015,Aston Villa,38,3,8,27,27,76,17
EPL,2016,Chelsea,38,30,3,5,85,33,93
EPL,2016,Tottenham,38,26,8,4,86,26,86
EPL,2016,Manchester City,38,23,9,6,80,39,78
EPL,2016,Liverpool,38,22,10,6,78,42,76
EPL,2016,Arsenal,38,23,6,9,77,44,75
EPL,2016,Manchester United,38,18,15,5,54,29,69
EPL,2016,Everton,38,17,10,11,62,44,61
EPL,2016,Bournemouth,38,12,10,16,55,67,46
EPL,2016,Southampton,38,12,10,16,41,48,46
EPL,2016,West Ham,38,12,9,17,47,64,45
EPL,2016,West Bromwich Albion,38,12,9,17,43,51,45
EPL,2016,Stoke,38,11,11,16,41,56,44
EPL,2016,Leicester,38,12,8,18,48,63,44
EPL,2016,Crystal Palace,38,12,5,21,50,63,41
EPL,2016,Swansea,38,12,5,21,45,70,41
EPL,2016,Watford,38,11,7,20,40,68,40
EPL,2016,Burnley,38,11,7,20,39,55,40
EPL,2016,Hull,38,9,7,22,37,80,34
EPL,2016,Middlesbrough,38,5,13,20,27,53,28
EPL,2016,Sunderland,38,6,6,26,29,69,24
EPL,2017,Manchester City,38,32,4,2,106,27,100
EPL,2017,Manchester United,38,25,6,7,68,28,81
EPL,2017,Tottenham,38,23,8,7,74,36,77
EPL,2017,Liverpool,38,21,12,5,84,38,75
EPL,2017,Chelsea,38,21,7,10,62,38,70
EPL,2017,Arsenal,38,19,6,13,74,51,63
EPL,2017,Burnley,38,14,12,12,36,39,54
EPL,2017,Everton,38,13,10,15,44,58,49
EPL,2017,Leicester,38,12,11,15,56,60,47
EPL,2017,Crystal Palace,38,11,11,16,45,55,44
EPL,2017,Bournemouth,38,11,11,16,45,61,44
EPL,2017,Newcastle United,38,12,8,18,39,47,44
EPL,2017,West Ham,38,10,12,16,48,68,42
EPL,2017,Watford,38,11,8,19,44,64,41
EPL,2017,Brighton,38,9,13,16,34,54,40
EPL,2017,Huddersfield,38,9,10,19,28,58,37
EPL,2017,Southampton,38,7,15,16,37,56,36
EPL,2017,Stoke,38,7,12,19,35,68,33
EPL,2017,Swansea,38,8,9,21,28,56,33
EPL,2017,West Bromwich Albion,38,6,13,19,31,56,31
EPL,2018,Manchester City,38,32,2,4,95,23,98
EPL,2018,Liverpool,38,30,7,1,89,22,97
EPL,2018,Chelsea,38,21,9,8,63,39,72
EPL,2018,Tottenham,38,23,2,13,67,39,71
EPL,2018,Arsenal,38,21,7,10,73,51,70
EPL,2018,Manchester United,38,19,9,10,65,54,66
EPL,2018,Wolverhampton Wanderers,38,16,9,13,47,46,57
EPL,2018,Everton,38,15,9,14,54,46,54
EPL,2018,West Ham,38,15,7,16,52,55,52
EPL,2018,Leicester,38,15,7,16,51,48,52
EPL,2018,Watford,38,14,8,16,52,59,50
EPL,2018,Crystal Palace,38,14,7,17,51,53,49
EPL,2018,Newcastle United,38,12,9,17,42,48,45
EPL,2018,Bournemouth,38,13,6,19,56,70,45
EPL,2018,Burnley,38,11,7,20,45,68,40
EPL,2018,Southampton,38,9,12,17,45,65,39
EPL,2018,Brighton,38,9,9,20,35,60,36
EPL,2018,Cardiff,38,10,4,24,34,69,34
EPL,2018,Fulham,38,7,5,26,34,81,26
EPL,2018,Huddersfield,38,3,7,28,22,76,16
La_liga,2014,Barcelona,38,30,4,4,110,21,94
La_liga,2014,Real Madrid,38,30,2,6,118,38,92
La_liga,2014,Atletico Madrid,38,23,9,6,67,29,78
La_liga,2014,Valencia,38,22,11,5,70,32,77
La_liga,2014,Sevilla,38,23,7,8,71,45,76
La_liga,2014,Villarreal,38,16,12,10,48,37,60
La_liga,2014,Athletic Club,38,15,10,13,42,41,55
La_liga,2014,Celta Vigo,38,13,12,13,47,44,51
La_liga,2014,Malaga,38,14,8,16,42,48,50
La_liga,2014,Rayo Vallecano,38,15,4,19,46,68,49
La_liga,2014,Espanyol,38,13,10,15,47,51,49
La_liga,2014,Real Sociedad,38,11,13,14,44,51,46
La_liga,2014,Elche,38,11,8,19,35,62,41
La_liga,2014,Getafe,38,10,7,21,33,64,37
La_liga,2014,Levante,38,9,10,19,34,67,37
La_liga,2014,Deportivo La Coruna,38,7,14,17,35,60,35
La_liga,2014,Granada,38,7,14,17,29,64,35
La_liga,2014,Eibar,38,9,8,21,34,55,35
La_liga,2014,Almeria,38,8,8,22,35,64,32
La_liga,2014,Cordoba,38,3,11,24,22,68,20
La_liga,2015,Barcelona,38,29,4,5,112,29,91
La_liga,2015,Real Madrid,38,28,6,4,110,34,90
La_liga,2015,Atletico Madrid,38,28,4,6,63,18,88
La_liga,2015,Villarreal,38,18,10,10,44,35,64
La_liga,2015,Athletic Club,38,18,8,12,58,45,62
La_liga,2015,Celta Vigo,38,17,9,12,51,59,60
La_liga,2015,Sevilla,38,14,10,14,51,50,52
La_liga,2015,Malaga,38,12,12,14,38,35,48
La_liga,2015,Real Sociedad,38,13,9,16,45,48,48
La_liga,2015,Real Betis,38,11,12,15,34,52,45
La_liga,2015,Valencia,38,11,11,16,46,48,44
La_liga,2015,Las Palmas,38,12,8,18,45,53,44
La_liga,2015,Espanyol,38,12,7,19,40,74,43
La_liga,2015,Eibar,38,11,10,17,49,61,43
La_liga,2015,Deportivo La Coruna,38,8,18,12,45,61,42
La_liga,2015,Sporting Gijon,38,10,9,19,40,62,39
La_liga,2015,Granada,38,10,9,19,46,69,39
La_liga,2015,Rayo Vallecano,38,9,11,18,52,73,38
La_liga,2015,Getafe,38,9,9,20,37,67,36
La_liga,2015,Levante,38,8,8,22,37,70,32
La_liga,2016,Real Madrid,38,29,6,3,106,41,93
La_liga,2016,Barcelona,38,28,6,4,116,37,90
La_liga,2016,Atletico Madrid,38,23,9,6,70,27,78
La_liga,2016,Sevilla,38,21,9,8,69,49,72
La_liga,2016,Villarreal,38,19,10,9,56,33,67
La_liga,2016,Real Sociedad,38,19,7,12,59,53,64
La_liga,2016,Athletic Club,38,19,6,13,53,43,63
La_liga,2016,Espanyol,38,15,11,12,49,50,56
La_liga,2016,Alaves,38,14,13,11,41,43,55
La_liga,2016,Eibar,38,15,9,14,56,51,54
La_liga,2016,Malaga,38,12,10,16,49,55,46
La_liga,2016,Valencia,38,13,7,18,56,65,46
La_liga,2016,Celta Vigo,38,13,6,19,53,69,45
La_liga,2016,Las Palmas,38,10,9,19,53,74,39
La_liga,2016,Real Betis,38,10,9,19,41,64,39
La_liga,2016,Deportivo La Coruna,38,8,12,18,43,61,36
La_liga,2016,Leganes,38,8,11,19,36,55,35
La_liga,2016,Sporting Gijon,38,7,10,21,42,72,31
La_liga,2016,Osasuna,38,4,10,24,40,94,22
La_liga,2016,Granada,38,4,8,26,30,82,20
La_liga,2017,Barcelona,38,28,9,1,99,29,93
La_liga,2017,Atletico Madrid,38,23,10,5,58,22,79
La_liga,2017,Real Madrid,38,22,10,6,94,44,76
La_liga,2017,Valencia,38,22,7,9,65,38,73
La_liga,2017,Villarreal,38,18,7,13,57,50,61
La_liga,2017,Real Betis,38,18,6,14,60,61,60
La_liga,2017,Sevilla,38,17,7,14,49,58,58
La_liga,2017,Getafe,38,15,10,13,42,33,55
La_liga,2017,Eibar,38,14,9,15,44,50,51
La_liga,2017,Girona,38,14,9,15,50,59,51
La_liga,2017,Celta Vigo,38,13,10,15,59,60,49
La_liga,2017,Espanyol,38,12,13,13,36,42,49
La_liga,2017,Real Sociedad,38,14,7,17,66,59,49
La_liga,2017,Alaves,38,15,2,21,40,50,47
La_liga,2017,Levante,38,11,13,14,44,58,46
La_liga,2017,Athletic Club,38,10,13,15,41,49,43
La_liga,2017,Leganes,38,12,7,19,34,51,43
La_liga,2017,Deportivo La Coruna,38,6,11,21,38,76,29
La_liga,2017,Las Palmas,38,5,7,26,24,74,22
La_liga,2017,Malaga,38,5,5,28,24,61,20
La_liga,2018,Barcelona,38,26,9,3,90,36,87
La_liga,2018,Atletico Madrid,38,22,10,6,55,29,76
La_liga,2018,Real Madrid,38,21,5,12,63,46,68
La_liga,2018,Valencia,38,15,16,7,51,35,61
La_liga,2018,Sevilla,38,17,8,13,62,47,59
